Topic 1,Topic 2,Co-occurrence Count
Matan Torah,Shavuot,594.0
Creation,Kabbalah,592.0
Biblical Hebrew,RJPS,591.0
אמונות ודעות,תורה,590.5
Gender,Tanakh,589.5
Hanukah,Hanukkah,588.0
Hillel and Shammai,Machloket,587.5
Mishkan,Terumah,586.0
Leadership,Moshe,585.0
Prayer,Tzedakah,585.0
Prayer,Torah,585.0
Study,Vital Transformation,585.0
Legal Text,Tzedakah,582.0
Kabbalah,Study,581.0
Poverty,Tikkun Olam,579.0
Judges,Justice,578.5
Book of Ruth,Ruth,577.5
Rosh Hashanah,Tshuva,577.5
God,Parashat Bereishit,576.0
Social Justice,Tzedakah,576.0
Debate,Machloket,575.5
Justice,Leadership,575.0
Blessings,Commandments,574.0
Mishna,Mishnah,573.0
Chesed,Ruth,572.0
Rosh Hashanah,Teshuva,572.0
Tanakh,Yom Kippur,572.0
Gratitude,Prayer,571.5
Mitzvot,Tzedakah,570.0
Community,Hillel and Shammai,568.0
Ethics,Torah,568.0
Fasting,Yom Kippur,567.0
Elul,Rambam,566.5
Revelation,Ten Commandments,565.0
Kashrut,Law,564.0
Sinai,Ten Commandments,564.0
Drinking,Wine,563.5
Community,Korach,561.0
Community,Parashah,561.0
D’var Torah,Holidays,560.0
Economic Justice,Tzedakah,560.0
God,Love,560.0
Al Hanisim,Chanukah,558.0
Biblical Hebrew,The Hebrew Language,558.0
Law,Tefilla,556.5
Creation,Nature,556.0
High Holidays,Teshuva,555.0
Esther,Vashti,553.0
Parashat Yitro,Torah,552.0
Blessings,Gratitude,550.0
Holidays,Parashat Emor,550.0
Community,Creation,549.0
Rabbi Eliyahu Jian,Study,549.0
Abraham,God,548.0
Learning,Torah Study,548.0
Prayer,Tefillah,545.0
Women,Women in Tanakh,544.5
Food,Law,544.0
Mussar,Mussar (מוּסָר ),541.5
Community,Law,540.0
Egypt,Seder,540.0
Korach,Parashat Korach,540.0
Mitzvot,Torah Study,540.0
Pirkei Avot,Torah Study,540.0
Shavuot,Yitro,540.0
Commandments,Tzedakah,539.0
Elul,Tshuva,539.0
Eating,Law,536.0
Jacob,Parashat Vayishlach,536.0
Mishkan,Parashat Terumah,536.0
Study,Zohar,535.5
Mitzvot,Shabbat,535.0
אמונות ודעות,קהילה,534.0
אמונות ודעות,"היחס ל""אחר""",534.0
ספר בראשית,פרשת השבוע,534.0
Blessings,Curses,533.5
Commandments,Women,533.5
Baal HaSulam,Education,532.0
Hillel,Torah,532.0
Law,Shabbat,532.0
Light,Miracles,532.0
Miriam,Women,532.0
Moses,Torah,532.0
Community,Teaching,531.0
Community,Sukkot,531.0
Community,Hillel,531.0
Justice,Tikkun Olam,531.0
Eretz Yisrael,Zionism,530.0
חיי אדם,נישואין וזוגיות,530.0
Debate,Hillel and Shammai,529.0
Abraham,Commandments,528.0
Blessings,Parashat Eikev,528.0
Hunger,Tzedakah,528.0
Liturgy,Yom Kippur,528.0
Revelation,Yitro,528.0
Shabbat,Theology,528.0
Torah,Yitro,528.0
Pesach,The Four Sons,526.5
Jacob,Yaakov,526.0
Abraham,Mitzvot,525.0
Hunger,Poverty,525.0
Abortion,Pregnancy,524.0
Leadership,Pirkei Avot,524.0
Mishnah,Pesach,522.5
Gender,Translation,522.0
D’var Torah,Talmud,521.5
LGBT,Transgender,521.5
Vital Transformation,קבלה,521.5
Hebrew,Peshat,520.0
Leadership,Tanakh,520.0
Learning,Pirkei Avot,520.0
יחיד וחברה,תרבות המחלוקת,520.0
Spirituality,Study,518.0
Israel,Obligation,516.0
Geula,Redemption,515.0
Education,Rashbi,514.5
Education,Penimiut,514.5
Rabbi Yehuda Ashlag,קבלה,514.5
Ethics,Medical Ethics,512.0
