Citation 1,Citation 2,Conection Type,Text 1,Text 2,Category 1,Category 2
Yoma 41b:3,Rashi on Yoma 41b:3:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 41b:3,Rashi on Yoma 41b:3:2,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 41b:3,Ritva on Yoma 41b:2,commentary,Yoma,Ritva on Yoma,Talmud,Other
Yoma 41b:4,Rashi on Yoma 41b:4:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 41b:4,Rashi on Yoma 41b:4:2,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 41b:4,Tosafot on Yoma 41b:4:1,commentary,Yoma,Tosafot on Yoma,Talmud,Commentary
Yoma 41b:4,Ritva on Yoma 41b:3,commentary,Yoma,Ritva on Yoma,Talmud,Other
Yoma 41b:5,Chidushei Halachot on Yoma 41b:3,Commentary,Yoma,Chidushei Halachot on Yoma,Talmud,Other
Yoma 41b:6,Rashi on Yoma 41b:6:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 41b:6,Leviticus 14:2,,Yoma,Leviticus,Talmud,Tanakh
Yoma 41b:7,Rashi on Yoma 41b:7:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 41b:7,Rashi on Yoma 41b:7:2,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 41b:7,Rashi on Yoma 41b:7:3,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 41b:7,Leviticus 14:2,,Yoma,Leviticus,Talmud,Tanakh
Yoma 41b:8,Rashi on Yoma 41b:8:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 41b:8,Rashi on Yoma 41b:8:2,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 41b:8,Leviticus 14:21,,Yoma,Leviticus,Talmud,Tanakh
Yoma 41b:9,Rashi on Yoma 41b:9:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 41b:9,Rashi on Yoma 41b:9:2,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 41b:9,Ritva on Yoma 41b:5,commentary,Yoma,Ritva on Yoma,Talmud,Other
Yoma 42a:1,Rashi on Yoma 42a:1:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 42a:1,Rashi on Yoma 42a:1:2,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 42a:1,Rashi on Yoma 42a:1:3,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 42a:10,Rashi on Yoma 42a:10:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 42a:10,Numbers 19:3,,Yoma,Numbers,Talmud,Tanakh
Yoma 42a:11,Rashi on Yoma 42a:11:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 42a:11,Ritva on Yoma 42a:5,commentary,Yoma,Ritva on Yoma,Talmud,Other
Yoma 42a:11,Numbers 19:5,,Yoma,Numbers,Talmud,Tanakh
